Symbol,Weight,Method,Expected Return,Volatility,Sharpe Ratio
VEA,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
VWO,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
VTI,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
BND,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
SHY,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
SPY,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
TIPS,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
IWM,1.0443885374932866e-14,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
QQQ,0.8586853605665155,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
VNQ,1.348782908244955e-14,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
DBC,0.1413146394335175,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
EFA,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
GLD,0.0,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
TLT,6.494601216968617e-15,Max Sharpe,0.6116772390726589,0.2871371017191523,2.0606088016148334
