Symbol,Weight,Method,Expected Return,Volatility,Sharpe Ratio
VEA,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
VWO,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
VTI,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
BND,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
SHY,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
SPY,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
TIPS,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
IWM,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
QQQ,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
VNQ,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
DBC,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
EFA,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
GLD,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
TLT,0.07142857142857142,Minimum Variance,-0.3997962112586622,0.08818370489633694,-4.760473737774428
