,Herfindahl_Index,Effective_Assets,Top3_Concentration,Gini_Coefficient,Shannon_Entropy,Num_Positions,Max_Weight,Weight_Std,Sum_Weights,Mean_Weight,Median_Weight,Min_Weight,Weight_Range
Eiten_Eigen Portfolio_20250714_163424,0.107995,9.259694,0.424359,0.405664,2.341434,14,0.170635,0.051107,1.0,0.071429,0.071111,0.00184,0.168795
Eiten_Minimum Variance_20250714_163424,0.071429,14.0,0.214286,0.0,2.639057,14,0.071429,0.0,1.0,0.071429,0.071429,0.071429,0.0
Eiten_Max Sharpe_20250714_163424,0.75731,1.320463,1.0,0.908384,0.407343,2,0.858685,0.22134,1.0,0.071429,0.0,0.0,0.858685
Eiten_Genetic Algorithm_20250714_163424,0.757365,1.320367,1.0,0.908389,0.407274,2,0.858723,0.221349,1.0,0.071429,0.0,0.0,0.858723
Eiten_Eigen Portfolio_20250715_110512,0.107995,9.259694,0.424359,0.405664,2.341434,14,0.170635,0.051107,1.0,0.071429,0.071111,0.00184,0.168795
Eiten_Minimum Variance_20250715_110512,0.071429,14.0,0.214286,0.0,2.639057,14,0.071429,0.0,1.0,0.071429,0.071429,0.071429,0.0
Eiten_Max Sharpe_20250715_110512,0.75731,1.320463,1.0,0.908384,0.407343,2,0.858685,0.22134,1.0,0.071429,0.0,0.0,0.858685
Eiten_Genetic Algorithm_20250715_110512,0.757366,1.320365,1.0,0.908389,0.407272,2,0.858724,0.221349,1.0,0.071429,0.0,0.0,0.858724
PyPortfolioOpt_max_sharpe_20250714_152306,0.258369,3.870433,0.64555,0.543102,1.946869,14,0.479892,0.115555,1.0,0.071429,0.037725,0.005595,0.474297
Riskfolio-Lib_risk_parity_20250714_162236,0.071429,14.0,0.214286,0.0,2.639057,14,0.071429,0.0,1.0,0.071429,0.071429,0.071429,0.0
Riskfolio-Lib_risk_parity_20250715_110512,0.071429,14.0,0.214286,0.0,2.639057,14,0.071429,0.0,1.0,0.071429,0.071429,0.071429,0.0
