,Eiten_Eigen Portfolio_20250714_163424,Eiten_Minimum Variance_20250714_163424,Eiten_Max Sharpe_20250714_163424,Eiten_Genetic Algorithm_20250714_163424,Eiten_Eigen Portfolio_20250715_110512,Eiten_Minimum Variance_20250715_110512,Eiten_Max Sharpe_20250715_110512,Eiten_Genetic Algorithm_20250715_110512,PyPortfolioOpt_max_sharpe_20250714_152306,Riskfolio-Lib_risk_parity_20250714_162236,Riskfolio-Lib_risk_parity_20250715_110512
BND,0.115127,0.071429,0.0,0.0,0.115127,0.071429,0.0,0.0,0.11106,0.071429,0.071429
DBC,0.020611,0.071429,0.141315,0.141277,0.020611,0.071429,0.141315,0.141276,0.054598,0.071429,0.071429
EFA,0.096009,0.071429,0.0,0.0,0.096009,0.071429,0.0,0.0,0.046548,0.071429,0.071429
GLD,0.00184,0.071429,0.0,0.0,0.00184,0.071429,0.0,0.0,0.039392,0.071429,0.071429
IWM,0.013238,0.071429,0.0,0.0,0.013238,0.071429,0.0,0.0,0.02442,0.071429,0.071429
QQQ,0.089213,0.071429,0.858685,0.858723,0.089213,0.071429,0.858685,0.858724,0.025636,0.071429,0.071429
SHY,0.004807,0.071429,0.0,0.0,0.004807,0.071429,0.0,0.0,0.479892,0.071429,0.071429
SPY,0.099726,0.071429,0.0,0.0,0.099726,0.071429,0.0,0.0,0.031358,0.071429,0.071429
TIPS,0.170635,0.071429,0.0,0.0,0.170635,0.071429,0.0,0.0,0.005595,0.071429,0.071429
TLT,0.053009,0.071429,0.0,0.0,0.053009,0.071429,0.0,0.0,0.037111,0.071429,0.071429
VEA,0.04381,0.071429,0.0,0.0,0.04381,0.071429,0.0,0.0,0.04609,0.071429,0.071429
VNQ,0.043712,0.071429,0.0,0.0,0.043712,0.071429,0.0,0.0,0.028968,0.071429,0.071429
VTI,0.138597,0.071429,0.0,0.0,0.138597,0.071429,0.0,0.0,0.030993,0.071429,0.071429
VWO,0.109666,0.071429,0.0,0.0,0.109666,0.071429,0.0,0.0,0.038339,0.071429,0.071429
